sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10235232,TimeWise Matte 3D Foundation - Deep 13,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 13,TimeWise Matte 3D Foundation
10235275,TimeWise Luminous 3D Foundation - Deep 13,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 13,TimeWise Luminous 3D Foundation
10235233,TimeWise Matte 3D Foundation - Deep 14,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 14,TimeWise Matte 3D Foundation
10235276,TimeWise Luminous 3D Foundation - Deep 14,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 14,TimeWise Luminous 3D Foundation
10235234,TimeWise Matte 3D Foundation - Deep 15,28.00,,2026-04-30,2026-04-30,TimeWise Matte 3D Foundation - Deep 15,TimeWise Matte 3D Foundation
10235277,TimeWise Luminous 3D Foundation - Deep 15,28.00,,2026-04-30,2026-04-30,TimeWise Luminous 3D Foundation - Deep 15,TimeWise Luminous 3D Foundation
10261477,"Mary Kay La Imagen (Verano 2026), paq./10 - Inglés",5.00,,2026-04-30,2026-04-30,"La Imagen (Verano 2026), paq./10 - Inglés","La Imagen (Verano 2026), paq./10"
10261478,"Mary Kay La Imagen (Verano 2026), paq./10 - Español",5.00,,2026-04-30,2026-04-30,"La Imagen (Verano 2026), paq./10 - Español","La Imagen (Verano 2026), paq./10"
10262958,"Mary Kay ¡REVISADO! Folletos Comienzo Grandioso (Versión 5/26), paq./10 - Inglés",4.00,,2026-04-30,2026-04-30,"¡REVISADO! Folletos Comienzo Grandioso (Versión 5/26), paq./10 - Inglés","¡REVISADO! Folletos Comienzo Grandioso (Versión 5/26), paq./10"
10262959,"Mary Kay ¡REVISADO! Folletos Comienzo Grandioso (Versión 5/26), paq./10 - Español",4.00,,2026-04-30,2026-04-30,"¡REVISADO! Folletos Comienzo Grandioso (Versión 5/26), paq./10 - Español","¡REVISADO! Folletos Comienzo Grandioso (Versión 5/26), paq./10"
10262954,Mary Kay ¡REVISADO! Páginas del rotafolio (Versión 5/26) - Inglés,3.00,,2026-04-30,2026-04-30,¡REVISADO! Páginas del rotafolio (Versión 5/26) - Inglés,¡REVISADO! Páginas del rotafolio (Versión 5/26)
10262955,Mary Kay ¡REVISADO! Páginas del rotafolio (Versión 5/26) - Español,3.00,,2026-04-30,2026-04-30,¡REVISADO! Páginas del rotafolio (Versión 5/26) - Español,¡REVISADO! Páginas del rotafolio (Versión 5/26)
10248097,Mary Kay Varitas para muestra de rímel Lash Love Fanorama Define+Lift paq./6,3.00,,2026-04-30,2026-04-30,Varitas para muestra de rímel Lash Love Fanorama Define+Lift paq./6,Varitas para muestra de rímel Lash Love Fanorama Define+Lift paq./6
10235382,Mary Kay c - Deep 12,2.00,,2026-04-30,2026-04-30,c - Deep 12,c
