sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms,predecessor_sku,fact_sheet_url,order_of_application_url,use_up_rate_months,previous_price,price_changed_at
10219478,TimeWise Luminous 3D Foundation - Deep 5​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 5,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10219479,TimeWise Luminous 3D Foundation - Deep 6​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 6,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10219480,TimeWise Luminous 3D Foundation - Deep 7​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 7,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10219481,TimeWise Luminous 3D Foundation - Deep 8​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 8,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10219482,TimeWise Luminous 3D Foundation - Deep 9​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 9,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10219483,TimeWise Luminous 3D Foundation - Deep 10​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 10,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10219484,TimeWise Luminous 3D Foundation - Deep 11​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 11,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10235274,TimeWise Luminous 3D Foundation - Deep 12​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 12,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10235275,TimeWise Luminous 3D Foundation - Deep 13​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 13,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10235276,TimeWise Luminous 3D Foundation - Deep 14​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 14,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10235277,TimeWise Luminous 3D Foundation - Deep 15​,28.00,,2026-04-30,2026-07-03,TimeWise Luminous 3D Foundation - Deep 15,TimeWise Luminous 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210733,TimeWise Matte 3D Foundation - Light 1​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Light 1,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210734,TimeWise Matte 3D Foundation - Light 2​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Light 2,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210735,TimeWise Matte 3D Foundation - Light 3​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Light 3,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210736,TimeWise Matte 3D Foundation - Light 4​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Light 4,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210737,TimeWise Matte 3D Foundation - Light 5​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Light 5,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210738,TimeWise Matte 3D Foundation - Light 6​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Light 6,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210739,TimeWise Matte 3D Foundation - Light 7​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Light 7,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210741,TimeWise Matte 3D Foundation - Medium 1​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 1,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210742,TimeWise Matte 3D Foundation - Medium 2​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 2,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210743,TimeWise Matte 3D Foundation - Medium 3​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 3,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210744,TimeWise Matte 3D Foundation - Medium 4​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 4,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210745,TimeWise Matte 3D Foundation - Medium 5​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 5,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210746,TimeWise Matte 3D Foundation - Medium 6​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 6,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210747,TimeWise Matte 3D Foundation - Medium 7​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 7,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210748,TimeWise Matte 3D Foundation - Medium 8​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 8,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
10210749,TimeWise Matte 3D Foundation - Medium 9​,28.00,,2026-04-30,2026-07-03,TimeWise Matte 3D Foundation - Medium 9,TimeWise Matte 3D Foundation,,https://order.marykayintouch.com/on/demandware.static/-/Sites-us-master-catalog/default/dwaf051453/Original/10006/Fact_Sheet-TIMEWISE_MATTE_LUMINOUS_3D_FOUNDATION.pdf,,1.1,,
