sku,product_name,price,,,,
10100036,TimeWise® Matte 3D Foundation Bronze W 150 Matte,26.00,,,,
10100038,TimeWise® Matte 3D Foundation Bronze C 160 Matte,26.00,,,,
10100039,TimeWise® Matte 3D Foundation Bronze C 170 Matte,26.00,,,,
10100040,TimeWise® Matte 3D Foundation Bronze C 180 Matte,26.00,,,,
10100011,TimeWise® Luminous 3D Foundation Ivory C 100 Dewy / Luminous,26.00,,,,
10100012,TimeWise® Luminous 3D Foundation Ivory C 110 Dewy / Luminous,26.00,,,,
10100013,TimeWise® Luminous 3D Foundation Ivory W 120 Dewy / Luminous,26.00,,,,
10100014,TimeWise® Luminous 3D Foundation Ivory W 130 Dewy / Luminous,26.00,,,,
10100015,TimeWise® Luminous 3D Foundation Ivory N 140 Dewy / Luminous,26.00,,,,
10100018,TimeWise® Luminous 3D Foundation Ivory W 150 Dewy / Luminous,26.00,,,,
10100017,TimeWise® Luminous 3D Foundation Ivory N 160 Dewy / Luminous,26.00,,,,
10100019,TimeWise® Luminous 3D Foundation Beige W 100 Dewy / Luminous,26.00,,,,
10100020,TimeWise® Luminous 3D Foundation Beige C 110 Dewy / Luminous,26.00,,,,
10100022,TimeWise® Luminous 3D Foundation Beige C 120 Dewy / Luminous,26.00,,,,
10100023,TimeWise® Luminous 3D Foundation Beige C 130 Dewy / Luminous,26.00,,,,
10100024,TimeWise® Luminous 3D Foundation Beige C 140 Dewy / Luminous,26.00,,,,
10100025,TimeWise® Luminous 3D Foundation Beige N 150 Dewy / Luminous,26.00,,,,
10100026,TimeWise® Luminous 3D Foundation Beige W 160 Dewy / Luminous,26.00,,,,
10100027,TimeWise® Luminous 3D Foundation Beige W 180 Dewy / Luminous,26.00,,,,
10100028,TimeWise® Luminous 3D Foundation Beige N 190 Dewy / Luminous,26.00,,,,
10100030,TimeWise® Luminous 3D Foundation Beige N 210 Dewy / Luminous,26.00,,,,
10100031,TimeWise® Luminous 3D Foundation Beige C 220 Dewy / Luminous,26.00,,,,
10154138,TimeWise® Luminous 3D Foundation Bronze W 100 Dewy / Luminous,26.00,,,,
10154140,TimeWise® Luminous 3D Foundation Bronze W 130 Dewy / Luminous,26.00,,,,
10154141,TimeWise® Luminous 3D Foundation Bronze W 150 Dewy / Luminous,26.00,,,,
10154142,TimeWise® Luminous 3D Foundation Bronze C 160 Dewy / Luminous,26.00,,,,
10154143,TimeWise® Luminous 3D Foundation Bronze C 170 Dewy / Luminous,26.00,,,,
10175890,Mary Kay® Silky Setting Powder Light Ivory Matte,20.00,,,,
10175891,Mary Kay® Silky Setting Powder Light-Medium Ivory Matte,20.00,,,,
10175892,Mary Kay® Silky Setting Powder Medium Ivory Matte,20.00,,,,
10175893,Mary Kay® Silky Setting Powder Deep Ivory Matte,20.00,,,,
10175894,Mary Kay® Silky Setting Powder Light Beige Matte,20.00,,,,
10175895,Mary Kay® Silky Setting Powder Light-Medium Beige Matte,20.00,,,,
10175896,Mary Kay® Silky Setting Powder Medium Beige Matte,20.00,,,,
10175897,Mary Kay® Silky Setting Powder Deep Beige Matte,20.00,,,,
10175898,Mary Kay® Silky Setting Powder Light Bronze Matte,20.00,,,,
10175899,Mary Kay® Silky Setting Powder Light-Medium Bronze Matte,20.00,,,,
10175901,Mary Kay® Silky Setting Powder Medium Bronze Matte,20.00,,,,
10175902,Mary Kay® Silky Setting Powder Deep Bronze Matte,20.00,,,,
10060182,Mary Kay® Translucent Loose Powder Natural,18.00,,,,
10233087,Mary Kay® Foundation Primer Sunscreen Broad Spectrum SPF 15*,20.00,,,,
10252246,Mary Kay Chromafusion® Blush Golden Copper Shimmer,14.00,,,,
10252249,Mary Kay Chromafusion® Blush Rosy Nude Matte,14.00,,,,
10252248,Mary Kay Chromafusion® Blush Rogue Rose Shimmer,14.00,,,,
10252250,Mary Kay Chromafusion® Blush Shy Blush Shimmer,14.00,,,,
