sku,product_name,price,search_terms,date_added,last_seen,display_name_card,display_name_sms
10233551,Clear Proof Clarifying Cleansing Gel,20.00,,,2026-04-08,Clear Proof Clarifying Cleansing Gel,Clear Proof Clarifying Cleansing Gel
10241535,Clear Proof Oil-Free Moisturizer for Acne-Prone Skin,22.00,,,2026-04-08,Clear Proof Oil-Free Moisturizer for Acne-Prone Skin,Clear Proof Oil-Free Moisturizer for Acne-Prone Skin
10242538,MKMen Regimen,70.00,,,2026-04-08,MKMen Regimen,MKMen Regimen
10234778,MKMen Daily Facial Wash,20.00,,,2026-04-08,MKMen Daily Facial Wash,MKMen Daily Facial Wash
10234520,MKMen Moisturizing Shave Cream,20.00,,,2026-04-08,MKMen Moisturizing Shave Cream,MKMen Moisturizing Shave Cream
10234780,MKMen Ultimate Moisturizer,30.00,,,2026-04-08,MKMen Ultimate Moisturizer,MKMen Ultimate Moisturizer
10183253,Mary Kay Mineral Facial Sunscreen Broad Spectrum SPF 30,28.00,,,2026-04-08,Mineral Facial Sunscreen,Mineral Facial Sunscreen
10173736,Mary Kay Instant Puffiness Reducer,38.00,,,2026-04-08,Instant Puffiness Reducer,Instant Puffiness Reducer
10190660,Indulge Soothing Eye Gel,20.00,,,2026-04-08,Indulge Soothing Eye Gel,Indulge Soothing Eye Gel
10179024,Mary Kay Oil-Free Eye Makeup Remover,20.00,,,2026-04-08,Oil-Free Eye Makeup Remover,Oil-Free Eye Makeup Remover
10203701,"Mary Kay Hydrogel Eye Patches, paq./30 pares",44.00,,,2026-04-08,"Hydrogel Eye Patches, paq./30 pares","Hydrogel Eye Patches, paq./30 pares"
10098324,White Tea & Citrus Satin Lips Set,26.00,,,2026-04-08,White Tea & Citrus Satin Lips Set,White Tea & Citrus Satin Lips Set
10186363,White Tea & Citrus Satin Lips Shea Sugar Scrub,14.00,,,2026-04-08,White Tea & Citrus Satin Lips Shea Sugar Scrub,White Tea & Citrus Satin Lips Shea Sugar Scrub
